Species NumGenes    Source
Adiantum_capillus-veneris   31244   GCA_014529385
Aechmea_fasciata    18750   EGAPx
Alsophila_spinulosa 67831   Figshare
Amborella_trichopoda    17106   GCF_000471905
Anthoceros_agrestis 27068   HWBASE_AnagrOXFv1
Antirrhinum_barrelieri  30461   ANNEVO
Arabidopsis_thaliana    27655   Araport11
Cryptomeria_japonica    41227   GCF_030272615
Cucumis_sativus 24317   CuGenDBv2_ChineseLongV3
Lupinus_albus   38258   Lupinus_albus_WLDBv1
Nicotiana_benthamiana   56949   GuoTTv1
Oryza_sativa    29428   GCF_034140825
Phillyrea_angustifolia  36648    Oeuropaea_Lec_T2Tv1
Prunus_persica  23135   GCF_000346465
Solanum_lycopersicum    36648   PHZv5
Solanum_melongena   34916   Solgenomics_V4.1
Vitis_vinifera  35256   PN40024v4
